_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66c567dccbf6e3c60fe54878,,48.86,86.9,48.86,58.72,140;0;0;0,words,25,-1,3,34.39,0,4.43,false,false,english,none,normal,false,false,false,,1724213212000
66c567aecbf6e3c60fe546bc,,49.1,86.21,49.1,59.28,147;0;0;0,words,25,-1,0,35.92,0,0,false,false,english,none,normal,false,false,false,,1724213166000
66c56789cbf6e3c60fe54537,,54.53,92.41,54.53,65.77,132;0;0;0,words,25,-1,0,29.05,0,0,false,false,english,none,normal,false,false,false,,1724213129000
66c5676acbf6e3c60fe54410,,50.32,89.4,50.32,65.32,134;0;0;0,words,25,-1,0,31.95,0,0,false,false,english,none,normal,false,false,false,,1724213098000
66c566facbf6e3c60fe53fce,,56.51,96.32,56.51,72.65,129;0;0;0,words,25,-1,6,27.39,0,61.79,false,false,english,none,normal,false,false,false,,1724212986000
66c4a2d791888c3435fbfbc0,,48.16,89.12,48.16,59.55,128;0;0;0,words,25,-1,4,31.89,0,33.05,false,false,english,none,normal,false,false,false,,1724162775000
66c4a29091888c3435fbf7e8,,53.86,90.44,53.86,70.84,120;0;0;0,words,25,-1,8,26.74,0,54.06,false,false,english,none,normal,false,false,false,,1724162704000
66c4a23891888c3435fbf277,,56.08,93.66,56.08,64.7,132;0;0;0,words,25,-1,2,28.24,0,23.41,false,false,english,none,normal,false,false,false,,1724162616000
66c4a20191888c3435fbef46,,56.8,93.75,56.8,64.34,134;0;0;0,words,25,-1,5,28.31,0,16.56,false,false,english,none,normal,false,false,false,,1724162561000
66c4a1cf91888c3435fbec45,,45.55,86.54,45.55,61.29,131;0;0;0,words,25,-1,7,34.51,0,63.35,false,false,english,none,normal,false,false,false,,1724162511000
66c4a16591888c3435fbe659,,51.02,90.91,51.02,65.52,148;0;0;0,words,25,-1,3,34.81,0,23.76,false,false,english,none,normal,false,false,false,,1724162405000
66c4a12491888c3435fbe24a,,49.78,89.13,49.78,54.94,121;0;0;0,words,25,-1,1,29.17,0,1.18,false,false,english,none,normal,false,false,false,,1724162340000
66c4a10491888c3435fbe065,,57.06,93.67,57.06,62.6,143;0;0;0,words,25,-1,0,30.07,0,0,false,false,english,none,normal,false,false,false,,1724162308000
